study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,fiNAl inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,NAtive,plant,plant latin,plant type,experimental duration,experimental.periods,variable
11.000000 ,"della mónica, ivaNA f.(2020)",2020.000000 ,NA,−34.5736,−58.4373,talaromyces helicus l7b,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000.000000 ,5.698970 ,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.985010 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap
11.000000 ,"della mónica, ivaNA f.(2020)",2020.000000 ,NA,−34.5736,−58.4373,rhizophagus irregularis,amf,amf,greenhouse,"amf inoculum(consisted of agar, spores)",none,amf inoculum yes,NA,NA,1l,NA,NA,NA,no,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.401070 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",NA,2kg,500000000.000000 ,8.698970 ,cfu/kg soil,yes,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 33ʹ,herbaceous plants,20.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",NA,2kg,500000000.000000 ,8.698970 ,cfu/kg soil,yes,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 33ʹ,herbaceous plants,40.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",NA,2kg,500000000.000000 ,8.698970 ,cfu/kg soil,yes,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 33ʹ,herbaceous plants,60.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,20g/pot,NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,tomato,solanum lycopersicum ‘campbell 34ʹ,herbaceous plants,20.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,20g/pot,NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,tomato,solanum lycopersicum ‘campbell 34ʹ,herbaceous plants,40.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,20g/pot,NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,tomato,solanum lycopersicum ‘campbell 34ʹ,herbaceous plants,60.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl), acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",mix,mix,greenhouse,mix inoculum,none,mix yes,"1*108 cfu/ml, 10ml/2kg, 20g/pot",NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 35ʹ,herbaceous plants,20.000000 ,Short-term,ap
15.000000 ,"el maaloum, saNAe(2020)",2020.000000 ,"marrakesh, morocco",31.629470 ,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl), acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",mix,mix,greenhouse,mix inoculum,none,mix yes,"1*108 cfu/ml, 10ml/2kg, 20g/pot",NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.500000 ,0.929419 ,NA,NA,2.842227 ,0.453659 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000000 ,0.903090 ,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 35ʹ,herbaceous plants,40.000000 ,Short-term,ap
