study_id,publication,pubyear,location,latitude,longitude,microbial_name,microbial_type,inoculant_type,experimental_type,inoculum_in_tr,inoculum_in_ck,inoculum,inoculation_amount_14,inoculation_amount_15,soil_weight,fi_n_al_inoculation_amount,log10,unit,inoculant_quantity,inoculation_location,soil_use_type,soil_origin,soil_type,sandy_or_not_sandy,extraction_part,soil_ph,log10ph,soil_tc,log10tc,soil_soc,log10soc,tn,log10tn,tp,log10tp,organic_p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application_background,stress,specific_background,rate,fertilizer,fertilizer_type,supply_rate,n_ative,plant,plant_latin,plant_type,experimental_duration,experimental_periods,variable,source_table
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",NA,2kg,500000000,8.698970,cfu/kg soil,yes,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 33ʹ,herbaceous plants,60,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,20g/pot,NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,tomato,solanum lycopersicum ‘campbell 34ʹ,herbaceous plants,20,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,20g/pot,NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,tomato,solanum lycopersicum ‘campbell 34ʹ,herbaceous plants,40,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,20g/pot,NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,tomato,solanum lycopersicum ‘campbell 34ʹ,herbaceous plants,60,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl), acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",mix,mix,greenhouse,mix inoculum,none,mix yes,"1*108 cfu/ml, 10ml/2kg, 20g/pot",NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 35ʹ,herbaceous plants,20,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl), acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",mix,mix,greenhouse,mix inoculum,none,mix yes,"1*108 cfu/ml, 10ml/2kg, 20g/pot",NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 35ʹ,herbaceous plants,40,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl), acaulospora scrobiculata, glomus deserticola, glomus intraradices, glomus intraradices",mix,mix,greenhouse,mix inoculum,none,mix yes,"1*108 cfu/ml, 10ml/2kg, 20g/pot",NA,2kg,NA,NA,NA,no,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 35ʹ,herbaceous plants,60,Short-term,ap,table1
18,"dutta, shanti chaya(2017)",2017,dibrugarh university,27.472900,94.912600,"a consortium of glomus, gigaspora and acaulospora sp.",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,90-120 propagules /10g,NA,2.5kg,80,1.903090,propagules/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,5,0.69897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,0.681241,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,turmeric,curcuma longa l.,herbaceous plants,90,Short-term,ap,table1
18,"dutta, shanti chaya(2017)",2017,dibrugarh university,27.472900,94.912600,"a consortium of glomus, gigaspora and acaulospora sp.",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,90-120 propagules /10g,NA,2.5kg,80,1.903090,propagules/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,5,0.69897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,0.681241,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,turmeric,curcuma longa l.,herbaceous plants,150,Medium-term,ap,table1
18,"dutta, shanti chaya(2017)",2017,dibrugarh university,27.472900,94.912600,"a consortium of glomus, gigaspora and acaulospora sp.",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,90-120 propagules /10g,NA,2.5kg,80,1.903090,propagules/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,5,0.69897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,0.681241,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,turmeric,curcuma longa l.,herbaceous plants,210,Medium-term,ap,table1
